Mon,Item,Move 1,Move 2,Move 3,Move 4
Machamp,Choice Scarf,Dynamic Punch,Rock Slide,Earthquake,Ice Punch

Victreebel,Wide Lens,Grass Knot,Wrap,Sleep Powder,Gastro Acid

Victreebel,Scope Lens,Razor Leaf,Leaf Storm,Swords Dance,Stun Spore

Victreebel,Power Herb,Sludge Bomb,Energy Ball,Solar Beam,Synthesis

Victreebel,Focus Sash,Solar Beam,Sludge Bomb,Wring Out,Sunny Day

Tentacruel,Leftovers,Acupressure,Rest,Sleep Talk,Surf

Tentacruel,Black Sludge,Poison Sting,Toxic Spikes,Poison Jab,Toxic

Tentacruel,Focus Sash,Mirror Coat,Surf,Sludge Bomb,Giga Drain

Tentacruel,Scope Lens,Hydro Pump,Wring Out,Sludge Bomb,Ice Beam

Golem,Liechi Berry,Endure,Earthquake,Flail,Rock Tomb

Golem,Focus Band,Sandstorm,Defense Curl,Rock Blast,Gyro Ball

Golem,Passho Berry,Substitute,Focus Punch,Earthquake,Secret Power

Golem,Quick Claw,Explosion,Earthquake,Stone Edge,Brick Break

Rapidash,Chesto Berry,Sunny Day,Fire Blast,Solar Beam,Rest

Rapidash,Focus Band,Bounce,Megahorn,Horn Drill,Poison Jab

Rapidash,Focus Band,Fury Attack,Megahorn,Horn Drill,Poison Jab

Rapidash,Passho Berry,Flare Blitz,Megahorn,Hypnosis,Sunny Day

Slowbro,Shell Bell,Thunder Wave,Focus Blast,Avalanche,Surf

Slowbro,Lum Berry,Yawn,Zen Headbutt,Earthquake,Brick Break

Slowbro,Quick Claw,Calm Mind,Psychic,Shadow Ball,Flamethrower

Slowbro,Leftovers,Trick Room,Surf,Psychic,Ice Beam

Dewgong,Razor Fang,Aqua Jet,Ice Shard,Fake Out,Protect

Dewgong,Chesto Berry,Encore,Disable,Rest,Ice Beam

Dewgong,Leftovers,Sheer Cold,Horn Drill,Rest,Sleep Talk

Dewgong,Chesto Berry,Surf,Ice Beam,Signal Beam,Rest

Muk,Black Sludge,Stockpile,Minimize,Toxic,Focus Punch

Muk,Focus Sash,Gunk Shot,Brick Break,Mud Bomb,Rock Slide

Muk,Quick Claw,Gunk Shot,Fling,Explosion,Shadow Punch

Muk,Zoom Lens,Curse,Gunk Shot,Payback,Shadow Sneak

Gengar,Scope Lens,Shadow Ball,Psychic,Energy Ball,Skill Swap

Gengar,Payapa Berry,Explosion,Thunder Punch,Poison Jab,Shadow Claw

Gengar,Bright Powder,Hypnosis,Dream Eater,Shadow Ball,Focus Blast

Gengar,Life Orb,Shadow Ball,Sludge Bomb,Thunderbolt,Destiny Bond

Hypno,Leftovers,Thunder Punch,Zen Headbutt,Headbutt,Drain Punch

Hypno,Focus Band,Psychic,Focus Blast,Thunder Wave,Calm Mind

Hypno,Quick Claw,Zen Headbutt,Brick Break,Swagger,Psych Up

Hypno,Iron Ball,Trick Room,Psychic,Shadow Ball,Hypnosis

Electrode,Sitrus Berry,Toxic,Protect,Double Team,Light Screen

Electrode,Shuca Berry,Magnet Rise,Charge Beam,Hyper Beam,Thunder Wave

Electrode,Damp Rock,Magnet Rise,Thunder,Swift,Rain Dance

Electrode,Focus Sash,Magnet Rise,Gyro Ball,Screech,Explosion

Exeggutor,Leftovers,Curse,Leech Seed,Double Team,Substitute

Exeggutor,Miracle Seed,Leech Seed,Worry Seed,Bullet Seed,Egg Bomb

Exeggutor,Expert Belt,Sunny Day,Solar Beam,Psychic,Sludge Bomb

Exeggutor,Focus Sash,Sunny Day,Explosion,Egg Bomb,Wood Hammer

Marowak,Grip Claw,Sandstorm,Toxic,Bone Rush,Protect

Marowak,Thick Club,Earthquake,Double-Edge,Aerial Ace,Brick Break

Marowak,Thick Club,Giga Impact,Thrash,Earthquake,Double-Edge

Marowak,Thick Club,Earthquake,Stone Edge,Iron Head,Fling

Weezing,Leftovers,Will-O-Wisp,Double Team,Sludge Bomb,Substitute

Weezing,Bright Powder,Sludge,Screech,Will-O-Wisp,Swagger

Weezing,Quick Claw,Sludge Bomb,Fire Blast,Dark Pulse,Destiny Bond

Weezing,Payapa Berry,Explosion,Payback,Double Hit,Gyro Ball

Rhydon,Wise Glasses,Ice Beam,Thunderbolt,Dragon Pulse,Surf

Rhydon,Smooth Rock,Rock Blast,Fire Fang,Sandstorm,Avalanche

Rhydon,Passho Berry,Earthquake,Hammer Arm,Shadow Claw,Stone Edge

Rhydon,Quick Claw,Earthquake,Megahorn,Stone Edge,Horn Drill

Kangaskhan,Pecha Berry,Comet Punch,Focus Punch,Mega Punch,Drain Punch

Kangaskhan,Focus Sash,Endure,Reversal,Leer,Double Hit

Kangaskhan,Salac Berry,Endure,Reversal,Crunch,Earthquake

Kangaskhan,Wide Lens,Dizzy Punch,Giga Impact,Crunch,Outrage

Starmie,Wide Lens,Hydro Pump,Thunder,Blizzard,Light Screen

Starmie,Damp Rock,Rain Dance,Hydro Pump,Thunder,Confuse Ray

Starmie,Expert Belt,Psychic,Thunderbolt,Ice Beam,Surf

Starmie,Lum Berry,Hydro Pump,Psychic,Thunderbolt,Power Gem

Mr. Mime,Colbur Berry,Double Slap,Meditate,Copycat,Mimic

Mr. Mime,Light Clay,Psybeam,Reflect,Light Screen,Role Play

Mr. Mime,Metronome,Psychic,Safeguard,Calm Mind,Substitute

Mr. Mime,Leftovers,Psychic,Charge Beam,Shadow Ball,Focus Blast

Jynx,Bright Powder,Mean Look,Perish Song,Protect,Lovely Kiss

Jynx,Odd Incense,Lovely Kiss,Dream Eater,Wake-Up Slap,Energy Ball

Jynx,Wise Glasses,Ice Beam,Psychic,Focus Blast,Shadow Ball

Jynx,Leftovers,Mean Look,Lovely Kiss,Perish Song,Drain Punch

Pinsir,Toxic Orb,Facade,Feint,Earthquake,Swords Dance

Pinsir,Bright Powder,Bulk Up,Earthquake,X-Scissor,Stone Edge

Pinsir,Salac Berry,Endure,Flail,X-Scissor,Superpower

Pinsir,Choice Scarf,X-Scissor,Earthquake,Close Combat,Guillotine

Tauros,Lum Berry,Thrash,Zen Headbutt,Earthquake,Giga Impact

Tauros,Leftovers,Take Down,Payback,Stone Edge,Substitute

Tauros,Chesto Berry,Earthquake,Facade,Iron Tail,Rest

Tauros,Choice Band,Return,Stone Edge,Earthquake,Zen Headbutt

Gyarados,Quick Claw,Avalanche,Payback,Endure,Flail

Gyarados,Leftovers,Rest,Earthquake,Thrash,Giga Impact

Gyarados,King's Rock,Waterfall,Ice Fang,Bite,Dragon Dance

Gyarados,Chesto Berry,Waterfall,Earthquake,Rest,Dragon Dance

Lapras,Lum Berry,Dragon Dance,Body Slam,Waterfall,Confuse Ray

Lapras,Leppa Berry,Sheer Cold,Sleep Talk,Rest,Double Team

Lapras,Chople Berry,Surf,Thunderbolt,Ice Beam,Psychic

Lapras,Wacan Berry,Rain Dance,Dragon Pulse,Thunder,Hydro Pump

Vaporeon,Leftovers,Aqua Ring,Tail Whip,Acid Armor,Last Resort

Vaporeon,Rindo Berry,Surf,Aqua Ring,Acid Armor,Baton Pass

Vaporeon,Damp Rock,Rain Dance,Hydro Pump,Shadow Ball,Yawn

Vaporeon,Leftovers,Surf,Ice Beam,Shadow Ball,Acid Armor

Jolteon,Leftovers,Thunder Wave,Tail Whip,Sand Attack,Last Resort

Jolteon,Razor Claw,Thunder Wave,Thunderbolt,Iron Tail,Flash

Jolteon,Bright Powder,Thunderbolt,Shadow Ball,Captivate,Yawn

Jolteon,Razor Fang,Charge Beam,Hyper Beam,Shadow Ball,Thunder Wave

Flareon,Leftovers,Will-O-Wisp,Tail Whip,Sand Attack,Last Resort

Flareon,White Herb,Overheat,Giga Impact,Iron Tail,Quick Attack

Flareon,Charcoal,Fire Fang,Return,Bite,Will-O-Wisp

Flareon,Quick Claw,Fire Fang,Bite,Return,Curse

Aerodactyl,Leftovers,Swagger,Attract,Rock Slide,Roost

Aerodactyl,Yache Berry,Giga Impact,Crunch,Rock Slide,Earthquake

Aerodactyl,King's Rock,Rock Slide,Iron Head,Ice Fang,Thunder Fang

Aerodactyl,Choice Band,Earthquake,Iron Head,Stone Edge,Dragon Claw

Snorlax,Zoom Lens,Rollout,Defense Curl,Curse,Yawn

Snorlax,Leftovers,Focus Punch,Curse,Substitute,Yawn

Snorlax,Iron Ball,Last Resort,Fling,Recycle,Yawn

Snorlax,Chesto Berry,Return,Rock Slide,Curse,Rest

Dragonite,Wide Lens,Dragon Rush,Aqua Tail,Iron Tail,Stone Edge

Dragonite,Persim Berry,Outrage,Earthquake,Thunder Punch,Brick Break

Dragonite,White Herb,Draco Meteor,Thunder,Hyper Beam,Safeguard

Dragonite,Bright Powder,Dragon Claw,Aerial Ace,Waterfall,Dragon Dance

Meganium,Leftovers,Giga Drain,Leech Seed,Toxic,Substitute

Meganium,Occa Berry,Solar Beam,Sunny Day,Synthesis,Ancient Power

Meganium,Light Clay,Wring Out,Leaf Storm,Light Screen,Reflect

Meganium,Quick Claw,Frenzy Plant,Ancient Power,Hyper Beam,Light Screen

Typhlosion,Wide Lens,Will-O-Wisp,Focus Blast,Double Team,Fire Blast

Typhlosion,Salac Berry,Blast Burn,Earthquake,Endure,Reversal

Typhlosion,Shuca Berry,Flare Blitz,Earthquake,Shadow Claw,Aerial Ace

Typhlosion,White Herb,Overheat,Eruption,Focus Blast,Sunny Day

Feraligatr,King's Rock,Scary Face,Waterfall,Rock Slide,Ice Fang

Feraligatr,Wise Glasses,Hydro Pump,Ice Beam,Dragon Pulse,Ancient Power

Feraligatr,Wacan Berry,Waterfall,Earthquake,Ice Fang,Dragon Dance

Feraligatr,Quick Claw,Hydro Cannon,Ice Beam,Focus Blast,Ancient Power

Crobat,King's Rock,Bite,Zen Headbutt,Cross Poison,U-turn

Crobat,Sharp Beak,Air Cutter,Air Slash,Aerial Ace,U-turn

Crobat,Lum Berry,Hypnosis,Roost,Sludge Bomb,Dark Pulse

Crobat,Payapa Berry,Brave Bird,Cross Poison,X-Scissor,Confuse Ray

Lanturn,Rindo Berry,Water Gun,Spark,Attract,Double Team

Lanturn,Expert Belt,Thunderbolt,Charge,Take Down,Surf

Lanturn,Quick Claw,Charge,Charge Beam,Hydro Pump,Ice Beam

Lanturn,Leftovers,Surf,Thunderbolt,Ice Beam,Confuse Ray

Ampharos,Toxic Orb,Thunder Wave,Facade,Fling,Rest

Ampharos,Light Clay,Reflect,Double Team,Focus Punch,Thunder Punch

Ampharos,Chesto Berry,Thunder Wave,Charge Beam,Signal Beam,Rest

Ampharos,Zoom Lens,Thunder,Focus Blast,Charge Beam,Power Gem

Politoed,Quick Claw,Perish Song,Bounce,Focus Punch,Hypnosis

Politoed,Bright Powder,Surf,Focus Blast,Mud Bomb,Payback

Politoed,Salac Berry,Belly Drum,Waterfall,Earthquake,Rest

Politoed,Wacan Berry,Hydro Pump,Hypnosis,Ice Beam,Payback

Quagsire,Leftovers,Body Slam,Rock Slide,Ice Beam,Brick Break

Quagsire,Focus Sash,Counter,Focus Punch,Yawn,Ice Beam

Quagsire,Quick Claw,Amnesia,Surf,Sludge Bomb,Mud Bomb

Quagsire,Muscle Band,Earthquake,Curse,Stone Edge,Waterfall

Espeon,Leftovers,Morning Sun,Tail Whip,Sand Attack,Last Resort

Espeon,Bright Powder,Reflect,Shadow Ball,Future Sight,Morning Sun

Espeon,Razor Claw,Calm Mind,Psychic,Shadow Ball,Hyper Beam

Espeon,Lum Berry,Psychic,Shadow Ball,Swift,Charm

Umbreon,Leftovers,Moonlight,Screech,Double Team,Last Resort

Umbreon,Bright Powder,Toxic,Attract,Protect,Pursuit

Umbreon,Scope Lens,Confuse Ray,Assurance,Last Resort,Shadow Ball

Umbreon,Leftovers,Swagger,Mean Look,Screech,Moonlight

Slowking,Wise Glasses,Confusion,Water Pulse,Trick Room,Ice Beam

Slowking,Wave Incense,Headbutt,Zen Headbutt,Brine,Flamethrower

Slowking,Bright Powder,Psychic,Surf,Nasty Plot,Swagger

Slowking,Leftovers,Calm Mind,Psychic,Surf,Ice Beam

Forretress,Occa Berry,Gyro Ball,Counter,Spikes,Mirror Shot

Forretress,Sitrus Berry,Payback,Toxic Spikes,Stealth Rock,Spikes

Forretress,Occa Berry,Double-Edge,Earthquake,Toxic,Double Team

Forretress,Quick Claw,Explosion,Double-Edge,Rock Slide,Earthquake

Steelix,Occa Berry,Thunder Fang,Fire Fang,Ice Fang,Crunch

Steelix,Passho Berry,Sandstorm,Rock Tomb,Stone Edge,Rock Slide

Steelix,Metal Coat,Flash Cannon,Gyro Ball,Iron Tail,Stealth Rock

Steelix,Quick Claw,Gyro Ball,Explosion,Screech,Stone Edge

Granbull,Razor Claw,Thunder Wave,Bite,Rock Slide,Giga Impact

Granbull,Muscle Band,Fire Fang,Frustration,Brick Break,Thunder Fang

Granbull,Quick Claw,Ice Fang,Stone Edge,Crunch,Earthquake

Granbull,Quick Claw,Return,Close Combat,Earthquake,Stone Edge

Scizor,Shell Bell,Cut,Fury Cutter,Night Slash,Slash

Scizor,Bright Powder,Swords Dance,Double Team,Steel Wing,Baton Pass

Scizor,Occa Berry,X-Scissor,Iron Head,Aerial Ace,Night Slash

Scizor,Salac Berry,Endure,Reversal,X-Scissor,Iron Head

Shuckle,Chesto Berry,Withdraw,Protect,Swagger,Rest

Shuckle,Bright Powder,Power Trick,Double Team,Stone Edge,Earthquake

Shuckle,Leftovers,Double Team,Substitute,Toxic,Sandstorm

Shuckle,Razor Fang,Power Trick,Earthquake,Stone Edge,Gyro Ball

Heracross,Focus Band,Focus Punch,Stone Edge,Swagger,Attract

Heracross,Scope Lens,Close Combat,Aerial Ace,Night Slash,Bulk Up

Heracross,Coba Berry,Megahorn,Stone Edge,Facade,Shadow Claw

Heracross,Salac Berry,Endure,Reversal,Megahorn,Earthquake

Ursaring,Liechi Berry,Hammer Arm,Avalanche,Counter,Payback

Ursaring,Chesto Berry,Facade,Aerial Ace,Bulk Up,Rest

Ursaring,Toxic Orb,Facade,Protect,Earthquake,Crunch

Ursaring,Quick Claw,Return,Earthquake,Hammer Arm,Counter

Skarmory,Occa Berry,Spikes,Roar,Drill Peck,Double Team

Skarmory,Occa Berry,Swift,Metal Sound,Double Team,Sand Attack

Skarmory,Life Orb,Air Cutter,Steel Wing,Roost,Pluck

Skarmory,Metal Coat,Night Slash,Air Slash,X-Scissor,Flash Cannon

Houndoom,Focus Sash,Counter,Roar,Crunch,Thunder Fang

Houndoom,Passho Berry,Fire Fang,Thunder Fang,Crunch,Will-O-Wisp

Houndoom,White Herb,Sunny Day,Overheat,Solar Beam,Dark Pulse

Houndoom,Shuca Berry,Flamethrower,Dark Pulse,Sludge Bomb,Attract

Kingdra,Razor Claw,Waterfall,Focus Energy,Dragon Dance,Yawn

Kingdra,Wide Lens,Hydro Pump,Ice Beam,Signal Beam,Rain Dance

Kingdra,Haban Berry,Dragon Pulse,Hydro Pump,Ice Beam,Dragon Dance

Kingdra,Lum Berry,Surf,Dragon Pulse,Ice Beam,Rain Dance

Donphan,Lum Berry,Double Team,Rock Polish,Earthquake,Last Resort

Donphan,Focus Band,Counter,Stealth Rock,Roar,Fire Fang

Donphan,Bright Powder,Earthquake,Stone Edge,Thunder Fang,Ice Shard

Donphan,Quick Claw,Fissure,Earthquake,Poison Jab,Gyro Ball

Porygon2,Leftovers,Magnet Rise,Conversion,Recover,Charge Beam

Porygon2,Wise Glasses,Conversion 2,Defense Curl,Recover,Tri Attack

Porygon2,Quick Claw,Tri Attack,Ice Beam,Signal Beam,Shadow Ball

Porygon2,Macho Brace,Trick Room,Tri Attack,Ice Beam,Recover

Miltank,Muscle Band,Toxic,Stealth Rock,Protect,Gyro Ball

Miltank,Silk Scarf,Body Slam,Giga Impact,Earthquake,Heal Bell

Miltank,Salac Berry,Endure,Reversal,Return,Rock Slide

Miltank,Quick Claw,Curse,Milk Drink,Return,Earthquake

Blissey,Leftovers,Counter,Toxic,Soft-Boiled,Double Team

Blissey,Chople Berry,Stealth Rock,Gravity,Healing Wish,Fire Blast

Blissey,Bright Powder,Counter,Hyper Beam,Shadow Ball,Snatch

Blissey,Sitrus Berry,Counter,Ice Beam,Thunderbolt,Double Team

Tyranitar,Expert Belt,Dark Pulse,Ice Beam,Flamethrower,Ancient Power

Tyranitar,Quick Claw,Earthquake,Dragon Claw,Shadow Claw,Iron Head

Tyranitar,Choice Scarf,Crunch,Stone Edge,Earthquake,Aerial Ace

Tyranitar,Chople Berry,Stone Edge,Crunch,Thunder Fang,Dragon Dance


Sceptile,Leftovers,Leech Seed,Double Team,Toxic,Giga Drain

Sceptile,Bright Powder,Energy Ball,Dragon Pulse,Focus Blast,Agility

Sceptile,Occa Berry,Leaf Storm,Aerial Ace,Leaf Blade,Focus Blast

Sceptile,Scope Lens,Leaf Blade,X-Scissor,Dragon Claw,Crunch

Blaziken,Shell Bell,Aerial Ace,Blaze Kick,Will-O-Wisp,Bulk Up

Blaziken,Salac Berry,Endure,Reversal,Sand Attack,Double Team

Blaziken,Passho Berry,Flamethrower,Focus Blast,Sand Attack,Night Slash

Blaziken,Leftovers,Brave Bird,Flare Blitz,Brick Break,Stone Edge

Swampert,Quick Claw,Ancient Power,Muddy Water,Avalanche,Focus Blast

Swampert,Lum Berry,Earthquake,Waterfall,Hammer Arm,Curse

Swampert,Expert Belt,Surf,Mud Bomb,Ice Beam,Counter

Swampert,Rindo Berry,Earthquake,Waterfall,Stone Edge,Mirror Coat

Ludicolo,Muscle Band,Waterfall,Razor Leaf,Drain Punch,Swords Dance

Ludicolo,Leftovers,Leech Seed,Double Team,Toxic,Substitute

Ludicolo,Lum Berry,Hydro Pump,Ice Beam,Grass Knot,Focus Blast

Ludicolo,Damp Rock,Surf,Ice Beam,Giga Drain,Rain Dance

Shiftry,Leftovers,Double Team,Leech Seed,Swagger,Synthesis

Shiftry,Quick Claw,Explosion,Fake Out,X-Scissor,Feint Attack

Shiftry,Focus Band,Energy Ball,Dark Pulse,Focus Blast,Nasty Plot

Shiftry,Bright Powder,Sunny Day,Explosion,Solar Beam,Dark Pulse

Gardevoir,Lum Berry,Psychic,Shadow Ball,Thunder Wave,Confuse Ray

Gardevoir,Chesto Berry,Calm Mind,Psychic,Thunderbolt,Rest

Gardevoir,Bright Powder,Psychic,Thunderbolt,Energy Ball,Focus Blast

Gardevoir,Choice Specs,Psychic,Shadow Ball,Thunderbolt,Hyper Beam

Breloom,Toxic Orb,Protect,Spore,Leech Seed,Double Team

Breloom,Big Root,Sky Uppercut,Focus Punch,Drain Punch,Swords Dance

Breloom,Shell Bell,Spore,Mind Reader,Focus Blast,Energy Ball

Breloom,Focus Sash,Spore,Focus Punch,Seed Bomb,Counter

Slaking,Sitrus Berry,Counter,Encore,Captivate,Slack Off

Slaking,Wide Lens,Hyper Beam,Blizzard,Fire Blast,Thunderbolt

Slaking,Expert Belt,Return,Hammer Arm,Shadow Claw,Earthquake

Slaking,Choice Band,Giga Impact,Earthquake,Shadow Claw,Aerial Ace

Exploud,Focus Band,Sunny Day,Fire Blast,Solar Beam,Focus Blast

Exploud,Leftovers,Rest,Sleep Talk,Return,Double Team

Exploud,Quick Claw,Body Slam,Earthquake,Avalanche,Crunch

Exploud,White Herb,Hyper Voice,Overheat,Surf,Ice Beam

Hariyama,Bright Powder,Sand Attack,Focus Punch,Rock Tomb,Fake Out

Hariyama,Quick Claw,Belly Drum,Brick Break,Earthquake,Stone Edge

Hariyama,Salac Berry,Endure,Reversal,Earthquake,Rock Tomb

Hariyama,Scope Lens,Focus Energy,Cross Chop,Poison Jab,Stone Edge

Aggron,Chople Berry,Rock Polish,Iron Head,Headbutt,Dragon Rush

Aggron,Shuca Berry,Stone Edge,Avalanche,Payback,Earthquake

Aggron,Quick Claw,Iron Tail,Stone Edge,Earthquake,Sandstorm

Aggron,Quick Claw,Stone Edge,Iron Head,Shadow Claw,Earthquake

Medicham,Focus Band,Force Palm,Thunder Punch,Rock Slide,Reversal

Medicham,Salac Berry,Endure,Reversal,Psycho Cut,Thunder Punch

Medicham,Bright Powder,Attract,Focus Punch,Drain Punch,Ice Punch

Medicham,Wise Glasses,Calm Mind,Focus Blast,Psychic,Shadow Ball

Manectric,Magnet,Spark,Ice Fang,Bite,Howl

Manectric,Shuca Berry,Thunderbolt,Crunch,Roar,Thunder Wave

Manectric,Damp Rock,Rain Dance,Thunder,Thunder Wave,Hyper Beam

Manectric,Bright Powder,Thunderbolt,Flamethrower,Thunder Wave,Captivate

Wailord,Wacan Berry,Defense Curl,Rollout,Waterfall,Avalanche

Wailord,Mystic Water,Water Spout,Brine,Whirlpool,Surf

Wailord,Leftovers,Curse,Earthquake,Waterfall,Double Team

Wailord,Quick Claw,Hydro Pump,Ice Beam,Fissure,Captivate

Flygon,Soft Sand,Sand Attack,Sand Tomb,Sandstorm,Dig

Flygon,Heat Rock,Sunny Day,Solar Beam,Fire Blast,U-turn

Flygon,Scope Lens,Dragon Pulse,Flamethrower,Silver Wind,Giga Drain

Flygon,Yache Berry,Earthquake,Dragon Claw,Crunch,Stone Edge

Altaria,Petaya Berry,Take Down,Pluck,Perish Song,Protect

Altaria,White Herb,Draco Meteor,Hyper Beam,Ice Beam,Flamethrower

Altaria,Dragon Fang,Dragon Dance,Dragon Pulse,Dragon Breath,Dragon Claw

Altaria,Chesto Berry,Dragon Dance,Dragon Claw,Earthquake,Rest

Whiscash,Leftovers,Mud-Slap,Water Pulse,Tickle,Sandstorm

Whiscash,Chesto Berry,Fissure,Amnesia,Spark,Rest

Whiscash,Zoom Lens,Hydro Pump,Blizzard,Mud Bomb,Future Sight

Whiscash,Muscle Band,Earthquake,Aqua Tail,Zen Headbutt,Stone Edge

Claydol,Hard Stone,Rock Polish,Earthquake,Rock Slide,Psychic

Claydol,Wise Glasses,Calm Mind,Psychic,Charge Beam,Ice Beam

Claydol,Quick Claw,Explosion,Earthquake,Stone Edge,Gyro Ball

Claydol,Macho Brace,Trick Room,Gyro Ball,Earthquake,Explosion

Cradily,Focus Band,Stockpile,Spit Up,Swallow,Swagger

Cradily,Quick Claw,Sandstorm,Ancient Power,Giga Drain,Hyper Beam

Cradily,Lum Berry,Mirror Coat,Energy Ball,Stone Edge,Ingrain

Cradily,Leftovers,Stockpile,Toxic,Ingrain,Double Team

Armaldo,Wide Lens,Toxic,Slash,X-Scissor,Iron Tail

Armaldo,Focus Sash,Rock Polish,Rock Blast,Cross Poison,X-Scissor

Armaldo,Focus Band,Sandstorm,Brick Break,Aerial Ace,Giga Impact

Armaldo,Quick Claw,Swords Dance,Stone Edge,X-Scissor,Earthquake

Milotic,Salac Berry,Hydro Pump,Dragon Pulse,Recover,Hypnosis

Milotic,Leftovers,Surf,Ice Beam,Aqua Ring,Haze

Milotic,Wide Lens,Hydro Pump,Ice Beam,Mirror Coat,Recover

Milotic,Lum Berry,Surf,Ice Beam,Dragon Pulse,Recover

Absol,White Herb,Slash,Pursuit,Double Team,Taunt

Absol,Focus Sash,Swagger,Punishment,Sucker Punch,Taunt

