Mon,Item,Move 1,Move 2,Move 3,Move 4
Woobat,Razor Fang,Air Slash,Psychic,Attract,Calm Mind
Swoobat,Lum Berry,Psyshock,Air Cutter,Round,Attract
Swoobat,Razor Fang,Psychic,Air Slash,Charge Beam,Shadow Ball
Drilbur,Rindo Berry,Dig,Metal Claw,Rapid Spin,Sandstorm
Drilbur,Quick Claw,Drill Run,Earthquake,Shadow Claw,Hone Claws
Audino,Leftovers,Hyper Beam,Simple Beam,Thunder,Heal Pulse
Audino,Shell Bell,Double-Edge,Sweet Kiss,Attract,Heal Pulse
Timburr,Payapa Berry,Low Kick,Poison Jab,Rock Throw,Scary Face
Timburr,Scope Lens,Hammer Arm,Chip Away,Stone Edge,Bulk Up
Gurdurr,Zoom Lens,Dynamic Punch,Poison Jab,Smack Down,Mach Punch
Gurdurr,White Herb,Superpower,Stone Edge,Chip Away,Bulk Up
Tympole,Cheri Berry,Bubble Beam,Round,Growl,Aqua Ring
Tympole,Damp Rock,Surf,Echoed Voice,Aqua Ring,Rain Dance
Palpitoad,Rindo Berry,Round,Bubble Beam,Mud Shot,Supersonic
Palpitoad,Wise Glasses,Hyper Voice,Muddy Water,Mud Shot,Aqua Ring
Sewaddle,SilverPowder,Bug Bite,Razor Leaf,String Shot,Grass Knot
Sewaddle,Focus Band,Bug Bite,Payback,Facade,String Shot
Swadloon,Occa Berry,Razor Leaf,Bug Bite,Grass Whistle,String Shot
Swadloon,Wide Lens,Razor Leaf,Dream Eater,Grass Whistle,Protect
Leavanny,Razor Fang,Leaf Blade,Bug Bite,Shadow Claw,Aerial Ace
Leavanny,Scope Lens,Leaf Blade,X-Scissor,Slash,Swords Dance
Venipede,Chesto Berry,Venoshock,Struggle Bug,Protect,Toxic
Venipede,Poison Barb,Sludge Bomb,Steamroller,Payback,Screech
Whirlipede,Coba Berry,Poison Tail,Bug Bite,Rollout,Defense Curl
Whirlipede,Black Sludge,Steamroller,Poison Jab,Payback,Iron Defense
Scolipede,Scope Lens,X-Scissor,Poison Jab,Rock Slide,Screech
Scolipede,King's Rock,Steamroller,Poison Tail,Earthquake,Rock Slide
Cottonee,Big Root,Giga Drain,Charm,Leech Seed,Poison Powder
Cottonee,Big Root,Giga Drain,Double Team,Cotton Guard,Leech Seed
Whimsicott,Coba Berry,Solar Beam,Psychic,Shadow Ball,Sunny Day
Whimsicott,Sitrus Berry,Energy Ball,Hurricane,Leech Seed,Tailwind
Petilil,Persim Berry,Magical Leaf,Flash,Helping Hand,Attract
Petilil,Rose Incense,Energy Ball,Round,Grass Knot,Sleep Powder
Basculin,Focus Sash,Aqua Tail,Chip Away,Flail,Final Gambit
Basculin,Cell Battery,Waterfall,Double-Edge,Crunch,Final Gambit
Sandile,Persim Berry,Crunch,Bulldoze,Scary Face,Swagger
Sandile,Muscle Band,Earthquake,Foul Play,Stone Edge,Scary Face
Krokorok,Soft Sand,Bulldoze,Crunch,Sand Attack,Torment
Krokorok,Liechi Berry,Earthquake,Foul Play,Rock Slide,Sand Tomb
Darumaka,Persim Berry,Fire Fang,Headbutt,Rock Tomb,Protect
Darumaka,Shuca Berry,Fire Punch,Uproar,Rock Slide,Taunt
Maractus,Big Root,Giga Drain,Double Team,Synthesis,Ingrain
Maractus,Heat Rock,Solar Beam,Synthesis,Sunny Day,Cotton Guard
Dwebble,Ring Target,Bug Bite,Smack Down,Double Team,Sand Attack
Dwebble,Rocky Helmet,X-Scissor,Rock Slide,Stealth Rock,Swords Dance
Crustle,Rocky Helmet,Stone Edge,X-Scissor,Earthquake,Flail
Crustle,Quick Claw,Rock Wrecker,X-Scissor,Earthquake,Giga Impact
Scraggy,Sitrus Berry,Low Sweep,Low Kick,Chip Away,Facade
Scraggy,Muscle Band,Brick Break,Crunch,Rock Climb,Swagger
Sigilyph,Power Herb,Sky Attack,Psychic,Hypnosis,Tailwind
Sigilyph,Expert Belt,Air Slash,Synchronoise,Ice Beam,Energy Ball
Yamask,Ganlon Berry,Hex,Will-O-Wisp,Curse,Toxic
Yamask,Spell Tag,Shadow Ball,Psychic,Grudge,Will-O-Wisp
Tirtouga,Shell Bell,Aqua Jet,Smack Down,Wide Guard,Shell Smash
Tirtouga,Rindo Berry,Aqua Tail,Rock Slide,Bulldoze,Shell Smash
Archen,Wacan Berry,Rock Slide,Pluck,Double Team,Scary Face
Archen,Petaya Berry,Stone Edge,Acrobatics,Dragon Claw,Agility
Trubbish,Payapa Berry,Acid Spray,Toxic Spikes,Stockpile,Swallow
Trubbish,Black Sludge,Sludge Bomb,Amnesia,Stockpile,Swallow
Garbodor,Black Sludge,Venoshock,Psychic,Focus Blast,Toxic
Garbodor,Quick Claw,Gunk Shot,Body Slam,Smack Down,Explosion
Zorua,Black Glasses,Foul Play,Aerial Ace,Pursuit,Leer
Zorua,Wise Glasses,Night Daze,Shadow Ball,Round,Torment
Minccino,Pecha Berry,Double Slap,U-turn,Encore,Tickle
Minccino,King's Rock,Tail Slap,Dig,U-turn,Captivate
Cinccino,Lax Incense,Double Slap,Dig,U-turn,Aqua Tail
Cinccino,Normal Gem,Double Slap,Bullet Seed,Rock Blast,Sing
Gothita,Persim Berry,Psybeam,Charge Beam,Fake Tears,Trick Room
Gothita,Colbur Berry,Psychic,Thunderbolt,Heal Block,Trick Room
Gothorita,Persim Berry,Psybeam,Charge Beam,Future Sight,Fake Tears
Gothorita,TwistedSpoon,Psyshock,Thunderbolt,Flatter,Thunder Wave
Solosis,Quick Claw,Psywave,Round,Pain Split,Light Screen
Solosis,Sitrus Berry,Psychic,Shadow Ball,Recover,Wonder Room
Duosion,Focus Band,Psywave,Round,Recover,Light Screen
Duosion,Quick Claw,Psychic,Energy Ball,Pain Split,Reflect
Ducklett,Sharp Beak,Aerial Ace,Water Pulse,Feather Dance,Defog
Ducklett,Wacan Berry,Air Slash,Surf,Tailwind,Roost
Swanna,Leftovers,Brave Bird,Facade,Pluck,Roost
Swanna,Wacan Berry,Hurricane,Surf,Scald,Rain Dance
Vanillite,Petaya Berry,Icy Wind,Mirror Shot,Mist,Hail
Vanillite,Icy Rock,Ice Beam,Flash Cannon,Acid Armor,Hail
Vanillish,Pecha Berry,Icy Wind,Mirror Shot,Taunt,Acid Armor
Vanillish,Icy Rock,Ice Beam,Mirror Shot,Mirror Coat,Hail
Deerling,Pecha Berry,Double Kick,Feint Attack,Sand Attack,Leech Seed
Deerling,Salac Berry,Take Down,Jump Kick,Retaliate,Charm
Sawsbuck,Lum Berry,Horn Leech,Double-Edge,Wild Charge,Jump Kick
Sawsbuck,Shell Bell,Horn Leech,Double-Edge,Megahorn,Leech Seed
Emolga,BrightPowder,Electro Ball,Acrobatics,Double Team,Encore
Emolga,Sitrus Berry,Volt Switch,Acrobatics,Thunder Wave,Light Screen
Karrablast,Coba Berry,Fury Cutter,Aerial Ace,Flail,Endure
Karrablast,SilverPowder,X-Scissor,Slash,Poison Jab,Swords Dance
Foongus,Big Root,Giga Drain,Venoshock,Toxic,Ingrain
Foongus,BrightPowder,Energy Ball,Clear Smog,Rage Powder,Spore
Amoonguss,Leftovers,Giga Drain,Double Team,Ingrain,Spore
Amoonguss,BrightPowder,Energy Ball,Sludge Bomb,Synthesis,Spore
Frillish,Sitrus Berry,Bubble Beam,Night Shade,Attract,Flash
Frillish,Shell Bell,Surf,Shadow Ball,Psychic,Recover
Jellicent,BrightPowder,Surf,Ice Beam,Psychic,Trick Room
Jellicent,Leftovers,Hydro Pump,Hex,Recover,Toxic
Alomomola,Leftovers,Dive,Aqua Ring,Healing Wish,Wide Guard
Alomomola,Cell Battery,Dive,Aqua Jet,Wish,Mirror Coat
Joltik,Liechi Berry,Electroweb,Bug Bite,String Shot,Gastro Acid
Joltik,Salac Berry,Signal Beam,Electro Ball,Energy Ball,Agility
Galvantula,Scope Lens,X-Scissor,Wild Charge,Cross Poison,Thunder Wave
Galvantula,Salac Berry,Electro Ball,Bug Buzz,Agility,Thunder Wave
Ferroseed,Rocky Helmet,Metal Claw,Poison Jab,Iron Defense,Ingrain
Ferroseed,Rocky Helmet,Iron Head,Payback,Ingrain,Curse
Klink,Binding Band,Bind,Toxic,Screech,Sandstorm
Klink,Metal Coat,Gear Grind,Rock Smash,Shift Gear,Screech
Klang,Shuca Berry,Flash Cannon,Thunderbolt,Return,Metal Sound
Klang,Occa Berry,Gear Grind,Thunderbolt,Hyper Beam,Shift Gear
Tynamo,Razor Fang,Charge Beam,Spark,Thunder Wave,Tackle
Tynamo,Razor Claw,Charge Beam,Spark,Thunder Wave,Tackle
Eelektrik,Quick Claw,Thunderbolt,Acid Spray,Acrobatics,Gastro Acid
Eelektrik,Persim Berry,Wild Charge,Thrash,Crunch,Coil
Elgyem,Persim Berry,Psybeam,Charge Beam,Simple Beam,Heal Block
Elgyem,Quick Claw,Psyshock,Hidden Power,Recover,Calm Mind
Beheeyem,Quick Claw,Psychic,Shadow Ball,Recover,Wonder Room
Beheeyem,White Herb,Psyshock,Thunderbolt,Energy Ball,Trick Room
Litwick,Persim Berry,Flame Burst,Confuse Ray,Will-O-Wisp,Hex
Litwick,Quick Claw,Shadow Ball,Inferno,Pain Split,Memento
Lampent,Absorb Bulb,Flame Burst,Hex,Confuse Ray,Will-O-Wisp
Lampent,Absorb Bulb,Inferno,Shadow Ball,Confuse Ray,Curse
Axew,Yache Berry,Dual Chop,Slash,Taunt,Leer
Axew,Muscle Band,Dragon Claw,X-Scissor,Aerial Ace,Dragon Dance
Fraxure,Persim Berry,Outrage,Slash,Shadow Claw,Poison Jab
Fraxure,Lum Berry,Dragon Tail,Guillotine,Aerial Ace,Dragon Dance
Cubchoo,Occa Berry,Slash,Shadow Claw,Bide,Hail
Cubchoo,Expert Belt,Avalanche,Shadow Claw,Aerial Ace,Slash
Beartic,Razor Claw,Icicle Crash,Slash,Bulldoze,Shadow Claw
Beartic,Life Orb,Avalanche,Dive,Superpower,Sheer Cold
Shelmet,Sitrus Berry,Struggle Bug,Bide,Acid Armor,Protect
Shelmet,Coba Berry,Bug Buzz,Giga Drain,Recover,Final Gambit
Stunfisk,Focus Sash,Thunderbolt,Earthquake,Flail,Endure
Stunfisk,Zoom Lens,Thunderbolt,Muddy Water,Scald,Fissure
Mienfoo,Cheri Berry,Low Sweep,Fake Out,Quick Guard,Detect
Mienfoo,Muscle Band,Jump Kick,Bounce,U-turn,Quick Guard
Mienshao,Muscle Band,Drain Punch,Acrobatics,Wide Guard,Fake Out
Mienshao,Power Herb,Jump Kick,Bounce,Aerial Ace,U-turn
Golett,Liechi Berry,Shadow Punch,Magnitude,Iron Defense,Curse
Golett,Muscle Band,Shadow Punch,Hammer Arm,Earthquake,Iron Defense
Pawniard,Chople Berry,Feint Attack,Metal Claw,Torment,Iron Defense
Pawniard,Muscle Band,Iron Head,Night Slash,Aerial Ace,Swords Dance
Bouffalant,Rocky Helmet,Head Charge,Bulldoze,Stone Edge,Revenge
Bouffalant,Life Orb,Head Charge,Megahorn,Thrash,Earthquake
Rufflet,Sharp Beak,Aerial Ace,Fury Attack,Scary Face,Defog
Rufflet,Razor Fang,Sky Drop,Crush Claw,Shadow Claw,Tailwind
Vullaby,Cheri Berry,Pluck,Feint Attack,Flatter,Tailwind
Vullaby,Wise Glasses,Air Slash,Dark Pulse,Tailwind,Nasty Plot
Heatmor,Lax Incense,Flame Burst,Stockpile,Swallow,Spit Up
Heatmor,Leftovers,Inferno,Night Slash,Focus Blast,Aerial Ace
Deino,Yache Berry,Dragon Tail,Headbutt,Incinerate,Roar
Deino,Muscle Band,Dragon Rush,Crunch,Facade,Roar
Zweilous,Yache Berry,Dragon Tail,Headbutt,Rock Smash,Roar
Zweilous,Quick Claw,Dragon Rush,Body Slam,Crunch,Double Hit
Larvesta,Chesto Berry,Flame Charge,Bug Bite,Amnesia,Will-O-Wisp
Larvesta,Charti Berry,Flame Wheel,U-turn,Acrobatics,Will-O-Wisp
