Mon,Item,Move 1,Move 2,Move 3,Move 4
Hitmontop,Muscle Band,Triple Kick,Bullet Punch,Aerial Ace,Counter
Pupitar,Hard Stone,Rock Tomb,Dig,Scary Face,Sandstorm
Pupitar,Soft Sand,Earthquake,Rock Slide,Crunch,Scary Face
Grovyle,Coba Berry,Magical Leaf,Swift,Mud-Slap,Detect
Grovyle,Coba Berry,Leaf Blade,Rock Slide,Crunch,Screech
Combusken,Liechi Berry,Fire Punch,Double Kick,Quick Attack,Sand Attack
Combusken,Scope Lens,Flamethrower,Sky Uppercut,Slash,Sand Attack
Marshtomp,Focus Band,Mud Shot,Water Pulse,Ancient Power,Growl
Marshtomp,Persim Berry,Muddy Water,Earthquake,Ancient Power,Protect
Mightyena,Razor Fang,Bite,Poison Fang,Howl,Roar
Mightyena,Chople Berry,Crunch,Take Down,Sucker Punch,Howl
Linoone,Lansat Berry,Slash,Shadow Claw,Covet,Tickle
Linoone,Choice Scarf,Frustration,Shadow Claw,Dig,Switcheroo
Swellow,King's Rock,Pluck,Quick Attack,Focus Energy,Growl
Swellow,Toxic Orb,Facade,Aerial Ace,Growl,U-turn
Pelipper,Chesto Berry,Water Pulse,Air Cutter,Stockpile,Swallow
Pelipper,Shell Bell,Surf,Air Cutter,Ice Beam,Tailwind
Masquerain,SilverPowder,Silver Wind,Air Cutter,Sweet Scent,Scary Face
Masquerain,Petaya Berry,Bug Buzz,Air Slash,Shadow Ball,Stun Spore
Vigoroth,Focus Band,Slash,Pursuit,Encore,Counter
Vigoroth,Salac Berry,Crush Claw,Shadow Claw,Reversal,Endure
Ninjask,Chesto Berry,Bug Bite,Aerial Ace,Sand Attack,Baton Pass
Ninjask,Razor Fang,X-Scissor,Aerial Ace,Night Slash,Baton Pass
Lairon,Metal Coat,Metal Claw,Rock Tomb,Iron Defense,Protect
Lairon,Sitrus Berry,Iron Head,Rock Slide,Earthquake,Roar
Swalot,Lax Incense,Sludge,Stockpile,Swallow,Spit Up
Swalot,Black Sludge,Sludge Bomb,Shadow Ball,Giga Drain,Yawn
Sharpedo,Cheri Berry,Water Pulse,Bite,Scary Face,Focus Energy
Sharpedo,Wacan Berry,Crunch,Waterfall,Ice Fang,Swagger
Camerupt,Focus Band,Magnitude,Will-O-Wisp,Rock Tomb,Amnesia
Camerupt,Quick Claw,Earth Power,Eruption,Ancient Power,Sandstorm
Torkoal,Petaya Berry,Ember,Mud-Slap,Smog,Amnesia
Torkoal,Quick Claw,Heat Wave,Solar Beam,Earth Power,Sunny Day
Grumpig,Petaya Berry,Psybeam,Grass Knot,Future Sight,Confuse Ray
Grumpig,Colbur Berry,Psychic,Power Gem,Charge Beam,Mirror Coat
Cacturne,Chople Berry,Bullet Seed,Feint Attack,Spikes,Ingrain
Cacturne,Shell Bell,Giga Drain,Dark Pulse,Acid,Cotton Spore
Zangoose,Persim Berry,Scratch,Pursuit,Detect,Leer
Zangoose,Razor Claw,Crush Claw,Shadow Claw,Aerial Ace,Taunt
Seviper,Scope Lens,Poison Tail,Lick,Knock Off,Glare
Seviper,Black Sludge,Sludge Bomb,Crunch,Aqua Tail,Swagger
Lunatone,Sitrus Berry,Ancient Power,Confusion,Cosmic Power,Reflect
Lunatone,Passho Berry,Psychic,Ancient Power,Shadow Ball,Cosmic Power
Solrock,Sitrus Berry,Psywave,Rock Tomb,Cosmic Power,Light Screen
Solrock,Passho Berry,Zen Headbutt,Rock Slide,Will-O-Wisp,Cosmic Power
Crawdaunt,Persim Berry,Bubble Beam,Dark Pulse,Harden,Taunt
Crawdaunt,Quick Claw,Crabhammer,Crunch,X-Scissor,Swords Dance
Kecleon,Lansat Berry,Slash,Shadow Sneak,Tail Whip,Magic Coat
Kecleon,Choice Scarf,Frustration,Shadow Claw,Aerial Ace,Trick
Banette,Rawst Berry,Shadow Sneak,Knock Off,Will-O-Wisp,Spite
Banette,Colbur Berry,Shadow Claw,Feint Attack,Will-O-Wisp,Trick Room
Dusclops,Rawst Berry,Shadow Sneak,Pain Split,Will-O-Wisp,Confuse Ray
Dusclops,Colbur Berry,Shadow Punch,Payback,Brick Break,Confuse Ray
Tropius,Lansat Berry,Razor Leaf,Aerial Ace,Leech Seed,Captivate
Tropius,Occa Berry,Giga Drain,Air Slash,Synthesis,Sunny Day
Chimecho,Pecha Berry,Psywave,Icy Wind,Heal Bell,Safeguard
Chimecho,Twisted Spoon,Psychic,Shadow Ball,Hypnosis,Dream Eater
Sealeo,Icy Rock,Aurora Beam,Water Pulse,Encore,Hail
Sealeo,Chesto Berry,Ice Beam,Surf,Signal Beam,Hail
Huntail,Mystic Water,Water Pulse,Bite,Screech,Rain Dance
Huntail,Shell Bell,Aqua Tail,Crunch,Ice Fang,Rain Dance
Gorebyss,Wave Incense,Water Pulse,Confusion,Rain Dance,Aqua Ring
Gorebyss,Shell Bell,Surf,Psychic,Ice Beam,Rain Dance
Relicanth,Wave Incense,Water Pulse,Rock Tomb,Mud Sport,Harden
Relicanth,Chesto Berry,Aqua Tail,Rock Slide,Rest,Yawn
Shelgon,Aspear Berry,Dragon Breath,Headbutt,Protect,Scary Face
Shelgon,Focus Band,Dragon Claw,Crunch,Dragon Dance,Scary Face
Metang,Chesto Berry,Metal Claw,Confusion,Magnet Rise,Scary Face
Metang,Shuca Berry,Meteor Mash,Zen Headbutt,Bullet Punch,Scary Face
Grotle,Big Root,Razor Leaf,Bite,Leech Seed,Synthesis
Grotle,Occa Berry,Seed Bomb,Crunch,Curse,Synthesis
Monferno,Coba Berry,Mach Punch,Flame Wheel,Fury Swipes,Taunt
Monferno,Scope Lens,Blaze Kick,Brick Break,Rock Slide,Torment
Prinplup,Wacan Berry,Bubble Beam,Metal Claw,Peck,Double Team
Prinplup,Focus Band,Surf,Drill Peck,Metal Claw,Rain Dance
Bibarel,Chople Berry,Headbutt,Water Pulse,Quick Attack,Growl
Bibarel,Shell Bell,Hyper Fang,Super Fang,Pluck,Attract
Luxio,Magnet,Thunder Fang,Bite,Flash,Swagger
Luxio,Petaya Berry,Thunderbolt,Signal Beam,Swift,Thunder Wave
Wormadam,Coba Berry,Razor Leaf,Bug Bite,Protect,Captivate
Wormadam,Coba Berry,Giga Drain,Signal Beam,Psychic,Attract
Mothim,Petaya Berry,Silver Wind,Air Cutter,Poison Powder,Captivate
Mothim,Coba Berry,Bug Buzz,Air Slash,Psychic,Poison Powder
Cherrim,Persim Berry,Magical Leaf,Leech Seed,Grass Whistle,Synthesis
Cherrim,Power Herb,Solar Beam,Leech Seed,Sunny Day,Synthesis
Purugly,Silk Scarf,Slash,Feint Attack,Attract,Growl
Purugly,Liechi Berry,Body Slam,Shadow Claw,Attract,Fake Out
Gabite,Yache Berry,Dragon Rage,Sand Tomb,Slash,Sand Attack
Gabite,Muscle Band,Dragon Claw,Earthquake,Slash,Sandstorm
Carnivine,Miracle Seed,Razor Leaf,Bite,Sweet Scent,Ingrain
Carnivine,Occa Berry,Seed Bomb,Wring Out,Crunch,Ingrain
Lumineon,Wacan Berry,Water Gun,U-turn,Captivate,Attract
Lumineon,Shell Bell,Surf,Silver Wind,Attract,Aqua Ring
Rotom,Cheri Berry,Thunder Shock,Astonish,Thunder Wave,Confuse Ray
Rotom,Magnet,Discharge,Ominous Wind,Thunder Wave,Double Team

