Mon,Item,Move 1,Move 2,Move 3,Move 4
Delibird,Never-Melt Ice,Present,Ice Ball,Aerial Ace,Hail
Houndour,Charcoal,Fire Fang,Bite,Roar,Will-O-Wisp
Phanpy,Metronome,Rollout,Rock Tomb,Defense Curl,Sandstorm
Smoochum,Bright Powder,Confusion,Icy Wind,Fake Out,Sweet Kiss
Elekid,Cheri Berry,Thunder Punch,Karate Chop,Quick Attack,Light Screen
Magby,Pecha Berry,Fire Punch,Mach Punch,Leer,SmokeScreen
Larvitar,Liechi Berry,Rock Slide,Dig,Bite,Scary Face
Treecko,Miracle Seed,Mega Drain,Swift,Flash,Double Team
Torchic,Charcoal,Ember,Mirror Move,Mud-Slap,Double Team
Mudkip,Mystic Water,Water Pulse,Icy Wind,Mud-Slap,Growl
Beautifly,SilverPowder,Silver Wind,Air Cutter,Mega Drain,Attract
Dustox,SilverPowder,Silver Wind,Toxic,Psybeam,Whirlwind
Lombre,Damp Rock,Water Pulse,Mega Drain,Fake Out,Rain Dance
Nuzleaf,Aspear Berry,Razor Leaf,Feint Attack,Swagger,Harden
Shedinja,Lax Incense,Shadow Sneak,Fury Cutter,Confuse Ray,Sand Attack
Loudred,Persim Berry,Stomp,Bite,Howl,Supersonic
Nosepass,Hard Stone,Ancient Power,Shock Wave,Thunder Wave,Sandstorm
Delcatty,Sitrus Berry,Secret Power,Feint Attack,Fake Out,Foresight
Sableye,BlackGlasses,Feint Attack,Shadow Sneak,Fake Out,Detect
Mawile,Bright Powder,Iron Head,Bite,Tickle,Iron Defense
Aron,Metal Coat,Metal Claw,Rock Tomb,Iron Defense,Protect
Plusle,Petaya Berry,Shock Wave,Swift,Fake Tears,Helping Hand
Minun,Salac Berry,Shock Wave,Swift,Encore,Helping Hand
Volbeat,Liechi Berry,U-turn,Quick Attack,Confuse Ray,Helping Hand
Illumise,Petaya Berry,Silver Wind,Swift,Wish,Helping Hand
Roselia,Black Sludge,Mega Drain,Toxic,Grass Whistle,Cotton Spore
Carvanha,Cheri Berry,Aqua Jet,Bite,Scary Face,Swagger
Wailmer,Sea Incense,Water Pulse,Icy Wind,Roar,Mist
Numel,Lax Incense,Magnitude,Ember,Rock Tomb,Sandstorm
Spoink,Sitrus Berry,Psywave,Swift,Magic Coat,Confuse Ray
Spinda,Silk Scarf,Dizzy Punch,Drain Punch,Feint Attack,Teeter Dance
Vibrava,Aspear Berry,Dragon Breath,Mud-Slap,Ominous Wind,Supersonic
Cacnea,Aspear Berry,Needle Arm,Feint Attack,Cotton Spore,Grass Whistle
Swablu,Mental Herb,Air Cutter,Swift,Mirror Move,Attract
Corphish,Pecha Berry,Bubble Beam,Vice Grip,Knock Off,Swagger
Baltoy,Twisted Spoon,Psybeam,Mud-Slap,Ancient Power,Light Screen
Lileep,Lax Incense,Ancient Power,Grass Knot,Ingrain,Confuse Ray
Anorith,Metronome,Fury Cutter,Rock Blast,Metal Claw,Protect
Castform,Persim Berry,Weather Ball,Sunny Day,Rain Dance,Hail
Shuppet,Spell Tag,Shadow Sneak,Knock Off,Will-O-Wisp,Grudge
Duskull,Spell Tag,Shadow Sneak,Pain Split,Will-O-Wisp,Confuse Ray
Snorunt,King's Rock,Ice Fang,Headbutt,Bite,Protect
Clamperl,Deep Sea Scale,Whirlpool,Toxic,Iron Defense,Protect
Luvdisc,Damp Rock,Water Pulse,Attract,Sweet Kiss,Rain Dance
Bagon,Dragon Fang,Dragon Breath,Headbutt,Brick Break,Scary Face
Turtwig,Occa Berry,Razor Leaf,Bite,Tickle,Withdraw
Chimchar,Passho Berry,Flame Wheel,Facade,Leer,Fake Out
Piplup,Rindo Berry,Bubble Beam,Aerial Ace,Growl,Supersonic
Starly,Sharp Beak,Wing Attack,Quick Attack,Endeavor,Growl
Staravia,Sharp Beak,Endeavor,Wing Attack,Quick Attack,Whirlwind
Bidoof,Silk Scarf,Headbutt,Pluck,Growl,Yawn
Kricketot,Liechi Berry,Bug Bite,Bide,Mud-Slap,Growl
Kricketune,Metronome,Fury Cutter,Rock Smash,Knock Off,Focus Energy
Shinx,King's Rock,Thunder Fang,Bite,Howl,Leer
Budew,Big Root,Mega Drain,Toxic,Growth,Worry Seed
Cranidos,Rock Incense,Rock Tomb,Pursuit,Scary Face,Leer
Shieldon,Focus Band,Iron Head,Rock Tomb,Swagger,Iron Defense
Burmy,Sitrus Berry,Bug Bite,Tackle,Snore,Protect
Combee,SilverPowder,Bug Bite,Gust,Ominous Wind,Sweet Scent
Pachirisu,Magnet,Spark,Quick Attack,Bite,Sweet Kiss
Buizel,Wave Incense,Aqua Jet,Quick Attack,Pursuit,Growl
Cherubi,Rose Incense,Magical Leaf,Toxic,Leech Seed,Helping Hand
Shellos,Lax Incense,Water Pulse,Mud-Slap,Icy Wind,Harden
Drifloon,Petaya Berry,Ominous Wind,Air Cutter,Icy Wind,Will-O-Wisp
Buneary,Black Belt,Dizzy Punch,Drain Punch,Quick Attack,Foresight
Glameow,Razor Claw,Fury Swipes,Fake Out,Feint Attack,Attract
Chingling,Twisted Spoon,Confusion,Swift,Disable,Growl
Stunky,BlackGlasses,Pursuit,Toxic,Slash,SmokeScreen
Bronzor,Odd Incense,Confusion,Gyro Ball,Ancient Power,Imprison
Bonsly,Rock Incense,Rock Slide,Low Kick,Copycat,Sandstorm
Mime Jr.,Lax Incense,Copycat,Confusion,Barrier,Light Screen
Happiny,Sitrus Berry,Present,Sweet Kiss,Copycat,Charm
Chatot,Persim Berry,Chatter,Swift,Sing,Mirror Move
Gible,Soft Sand,Dragon Rage,Sand Tomb,Metal Claw,Sandstorm
Munchlax,Sitrus Berry,Metronome,Recycle,Stockpile,Swallow
Riolu,Expert Belt,Brick Break,Bullet Punch,Foresight,Counter
Hippopotas,Chesto Berry,Dig,Rock Tomb,Sand Tomb,Yawn
Skorupi,Poison Barb,Poison Fang,Bug Bite,Bite,Toxic Spikes
Croagunk,Black Sludge,Poison Jab,Wake-Up Slap,Taunt,Swagger
Finneon,Wave Incense,Water Pulse,Silver Wind,Attract,Aqua Ring
Mantyke,Mystic Water,Bubble Beam,Aerial Ace,Icy Wind,Agility
Snover,Never-Melt Ice,Ice Punch,Razor Leaf,Grass Whistle,Ingrain

