Mon,Item,Move 1,Move 2,Move 3,Move 4
Kabutops,Salac Berry,Slash,Rock Slide,Flail,Endure
Dragonair,Cheri Berry,Dragon Breath,Leer,Wrap,Safeguard
Dragonair,Chesto Berry,Return,Rest,Thunder Wave,Dragon Dance
Bayleef,Bright Powder,Razor Leaf,Toxic,Safeguard,Light Screen
Bayleef,Chesto Berry,Giga Drain,Body Slam,Grass Whistle,Rest
Quilava,Focus Band,Flame Wheel,Fury Swipes,Swift,SmokeScreen
Quilava,Bright Powder,Flamethrower,Crush Claw,Quick Attack,SmokeScreen
Croconaw,Scope Lens,Slash,Water Pulse,Bite,Scary Face
Croconaw,Focus Band,Crunch,Aerial Ace,Rock Slide,Dig
Furret,Liechi Berry,Slam,Protect,Helping Hand,Follow Me
Furret,Choice Band,Trick,Frustration,Shadow Ball,Follow Me
Noctowl,Persim Berry,Confusion,Aerial Ace,Feint Attack,Reflect
Noctowl,Persim Berry,Psychic,Feint Attack,Aerial Ace,Reflect
Xatu,Sharp Beak,Drill Peck,Night Shade,Wish,Future Sight
Xatu,Leftovers,Fly,Toxic,Confuse Ray,Attract
Bellossom,Persim Berry,Petal Dance,Safeguard,Sunny Day,Synthesis
Bellossom,Bright Powder,Solar Beam,Attract,Sunny Day,Synthesis
Sudowoodo,Hard Stone,Rock Slide,Feint Attack,Sandstorm,Block
Sudowoodo,Focus Band,Double-Edge,Earthquake,Low Kick,Self-Destruct
Jumpluff,Lax Incense,Aerial Ace,Swagger,Psych Up,Synthesis
Jumpluff,Big Root,Giga Drain,Sleep Powder,Synthesis,U-turn
Sunflora,Persim Berry,Petal Dance,Ingrain,Leech Seed,Light Screen
Sunflora,Leftovers,Giga Drain,Grass Whistle,Growth,Double Team
Misdreavus,Focus Band,Pain Split,Shadow Ball,Confuse Ray,Thunder Wave
Misdreavus,Leftovers,Psychic,Attract,Thunder Wave,Confuse Ray
Girafarig,Petaya Berry,Psybeam,Stomp,Wish,Skill Swap
Girafarig,Lum Berry,Psychic,Crunch,Baton Pass,Agility
Dunsparce,Lax Incense,Headbutt,Glare,Defense Curl,Rollout
Dunsparce,Quick Claw,Ice Beam,Rock Tomb,Bite,Shadow Ball
Gligar,Scope Lens,Metal Claw,Dig,Aerial Ace,Quick Attack
Gligar,Quick Claw,Earthquake,Aerial Ace,Guillotine,Screech
Qwilfish,Cheri Berry,Bubble Beam,Pin Missile,Spikes,Minimize
Qwilfish,Focus Band,Revenge,Sludge Bomb,Shadow Ball,Destiny Bond
Sneasel,Persim Berry,Feint Attack,Fake Out,Icy Wind,Quick Attack
Sneasel,King's Rock,Crush Claw,Brick Break,Aerial Ace,Screech
Magcargo,Lax Incense,Rock Slide,Ember,Acid Armor,Sandstorm
Magcargo,Quick Claw,Overheat,Earthquake,Rock Slide,Body Slam
Piloswine,Soft Sand,Ice Fang,Ancient Power,Hail,Light Screen
Piloswine,Muscle Band,Ice Fang,Earthquake,Ancient Power,Stone Edge
Octillery,Shell Bell,Octazooka,Aurora Beam,Psybeam,Rock Blast
Octillery,Lax Incense,Octazooka,Fire Blast,Gunk Shot,Thunder Wave
Mantine,Mystic Water,Bubble Beam,Aerial Ace,Rain Dance,Psybeam
Mantine,Shell Bell,Surf,Ice Beam,Rain Dance,Confuse Ray
Stantler,Twisted Spoon,Extrasensory,Confuse Ray,Stomp,Sand Attack
Stantler,Lax Incense,Frustration,Shadow Ball,Thunder Wave,Confuse Ray
Hitmontop,Liechi Berry,Triple Kick,Dig,Mach Punch,Quick Attack
Hitmontop,Focus Band,Gyro Ball,Rolling Kick,Rock Slide,Counter
Pupitar,Soft Sand,Dig,Bite,Scary Face,Sandstorm
Pupitar,Chople Berry,Earthquake,Rock Slide,Crunch,Scary Face
Grovyle,Bright Powder,Fury Cutter,Endeavor,Brick Break,Double Team
Grovyle,Lum Berry,Giga Drain,Crush Claw,Screech,Rock Tomb
Combusken,Scope Lens,Ember,Double Kick,Quick Attack,Sand Attack
Combusken,Scope Lens,Flamethrower,Sky Uppercut,Slash,Sand Attack
Marshtomp,Focus Band,Mud Shot,Water Gun,Rock Tomb,Mud-Slap
Marshtomp,Focus Band,Muddy Water,Earthquake,Mud-Slap,Protect
Mightyena,Mental Herb,Bite,Poison Fang,Taunt,Roar
Mightyena,Chople Berry,Crunch,Shadow Ball,Sucker Punch,Assurance
Linoone,White Herb,Secret Power,Sand Attack,Covet,Tickle
Linoone,Choice Band,Trick,Frustration,Thunder Wave,Sand Attack
Swellow,King's Rock,Fly,Endeavor,Facade,Quick Attack
Swellow,King's Rock,Facade,Aerial Ace,Pursuit,Double Team
Pelipper,Sitrus Berry,Water Pulse,Aerial Ace,Stockpile,Swallow
Pelipper,Shell Bell,Surf,Blizzard,Aerial Ace,Protect
Masquerain,Cheri Berry,Silver Wind,Aerial Ace,Ominous Wind,Stun Spore
Masquerain,Lax Incense,Hydro Pump,Ice Beam,Energy Ball,Stun Spore
Vigoroth,Focus Band,Slash,Counter,Encore,Uproar
Vigoroth,Salac Berry,Crush Claw,Reversal,Endure,Shadow Ball
Ninjask,Petaya Berry,Baton Pass,Swords Dance,Endure,Dig
Ninjask,Focus Band,Slash,Shadow Ball,Swords Dance,Baton Pass
Lairon,Metal Coat,Metal Claw,Rock Tomb,Iron Defense,Protect
Lairon,Sitrus Berry,Earthquake,Iron Tail,Roar,Protect
Swalot,Lax Incense,Stockpile,Swallow,Spit Up,Sludge
Swalot,Leftovers,Sludge Bomb,Shadow Ball,Body Slam,Yawn
Sharpedo,Scope Lens,Slash,Bite,Water Pulse,Scary Face
Sharpedo,Scope Lens,Double-Edge,Crunch,Earthquake,Surf
Camerupt,Focus Band,Magnitude,Protect,Sandstorm,Rock Slide
Camerupt,Lax Incense,Earthquake,Eruption,Body Slam,Growl
Torkoal,Sitrus Berry,Ember,Fire Spin,SmokeScreen,Amnesia
Torkoal,White Herb,Overheat,Body Slam,SmokeScreen,Protect
Grumpig,Petaya Berry,Psybeam,Confuse Ray,Future Sight,Magic Coat
Grumpig,Petaya Berry,Psychic,Confuse Ray,Future Sight,Magic Coat
Cacturne,Scope Lens,Needle Arm,Feint Attack,Acid,Revenge
Cacturne,Persim Berry,Payback,Teeter Dance,Feint Attack,Sandstorm
Zangoose,Persim Berry,Slash,Double Kick,Roar,Quick Attack
Zangoose,Scope Lens,Crush Claw,Shadow Ball,Brick Break,Aerial Ace
Seviper,Scope Lens,Poison Tail,Bite,Glare,Screech
Seviper,Quick Claw,Sludge Bomb,Earthquake,Crunch,Giga Drain
Lunatone,Sitrus Berry,Confusion,Cosmic Power,Light Screen,Sandstorm
Lunatone,Lax Incense,Psychic,Ice Beam,Cosmic Power,Calm Mind
Solrock,Sitrus Berry,Confusion,Fire Spin,Light Screen,Sandstorm
Solrock,White Herb,Earthquake,Rock Slide,Cosmic Power,Overheat
Crawdaunt,Persim Berry,Bubble Beam,Vice Grip,Knock Off,Protect
Crawdaunt,Quick Claw,Guillotine,Frustration,Ancient Power,Aerial Ace
Castform,Persim Berry,Ember,Water Pulse,Shock Wave,Weather Ball
Castform,Wise Glasses,Thunderbolt,Flamethrower,Ice Beam,Water Pulse
Kecleon,Focus Band,Secret Power,Psybeam,Magic Coat,Shadow Sneak
Kecleon,Choice Band,Trick,Brick Break,Shadow Ball,Skill Swap
Banette,Rawst Berry,Night Shade,Will-O-Wisp,Spite,Knock Off
Banette,Lax Incense,Shadow Ball,Frustration,Screech,Will-O-Wisp
Dusclops,Leftovers,Will-O-Wisp,Shadow Sneak,Pain Split,Confuse Ray
Dusclops,Leftovers,Toxic,Confuse Ray,Double Team,Protect
Tropius,Sitrus Berry,Magical Leaf,Whirlwind,Aerial Ace,Steel Wing
Tropius,Focus Band,Solar Beam,Sunny Day,Synthesis,Body Slam
Chimecho,Twisted Spoon,Psywave,Take Down,Heal Bell,Safeguard
Chimecho,Twisted Spoon,Psychic,Hypnosis,Dream Eater,Heal Bell
Sealeo,Icy Rock,Ice Ball,Hail,Snore,Rest
Sealeo,Sitrus Berry,Ice Beam,Surf,Body Slam,Hail
Huntail,Persim Berry,Whirlpool,Scary Face,Screech,Bite
Huntail,Shell Bell,Surf,Rain Dance,Crunch,Body Slam
Gorebyss,Persim Berry,Whirlpool,Amnesia,Captivate,Confusion
Gorebyss,Shell Bell,Surf,Rain Dance,Psychic,Body Slam
Relicanth,Liechi Berry,Ancient Power,Water Pulse,Harden,Amnesia
Relicanth,Chesto Berry,Earthquake,Rock Slide,Amnesia,Rest
Shelgon,Cheri Berry,Headbutt,Dragon Breath,Protect,Scary Face
Shelgon,Focus Band,Frustration,Dragon Dance,Crunch,Scary Face
Metang,Focus Band,Metal Claw,Confusion,Pursuit,Scary Face
Metang,Shuca Berry,Meteor Mash,Psychic,Bullet Punch,Scary Face
Grotle,Big Root,Mega Drain,Bite,Leech Seed,Synthesis
Grotle,Occa Berry,Giga Drain,Crunch,Flash,Synthesis
Monferno,Coba Berry,Mach Punch,Feint,Torment,U-turn
Monferno,Muscle Band,Close Combat,Fire Spin,Aerial Ace,Rock Slide
Prinplup,Wacan Berry,Whirlpool,Metal Claw,Peck,Double Team
Prinplup,Quick Claw,Surf,Drill Peck,Metal Claw,Hail
Bibarel,Power Herb,Take Down,Dig,Water Pulse,Yawn
Bibarel,Shell Bell,Hyper Fang,Super Fang,Superpower,Yawn
Wormadam,Coba Berry,Razor Leaf,Psybeam,Protect,Captivate
Wormadam,Coba Berry,Giga Drain,Psychic,Attract,Captivate
Mothim,Coba Berry,Psybeam,Gust,Poison Powder,Camouflage
Mothim,Coba Berry,Bug Buzz,Psychic,Air Slash,Poison Powder
Cherrim,Miracle Seed,Petal Dance,Worry Seed,Leech Seed,Sunny Day
Cherrim,Power Herb,Solar Beam,Sunny Day,Helping Hand,Lucky Chant
Purugly,Silk Scarf,Slash,Feint Attack,Attract,Fake Out
Purugly,BlackGlasses,Payback,Shadow Claw,Attract,Fake Out
Chatot,Yache Berry,Chatter,Torment,Sing,U-turn
Chatot,Silk Scarf,Chatter,Hyper Voice,Sing,Feather Dance
Gabite,Yache Berry,Dragon Rage,Take Down,Sand Attack,Roar
Gabite,Muscle Band,Dragon Claw,Slash,Earthquake,Sand Tomb
Carnivine,Rose Incense,Vine Whip,Bite,Sweet Scent,Ingrain
Carnivine,Occa Berry,Power Whip,Wring Out,Crunch,Flash
Lumineon,Rindo Berry,Water Gun,Gust,Captivate,U-turn
Lumineon,Shell Bell,Surf,Silver Wind,Attract,Aqua Ring
Rotom,Cheri Berry,Thunder Shock,Astonish,Thunder Wave,Confuse Ray
Rotom,Magnet,Discharge,Ominous Wind,Thunder Wave,Double Team
