Mon, Item, Move 1, Move 2, Move 3, Move 4, Nature, Hp, Atk, Def, SpAtk, SpDef, Spd
Starmie,King's Rock,Surf,Psychic,Thunderbolt,Ice Beam,Timid,0,0,0,252,0,252
Mr. Mime,Choice Scarf,Trick,Dazzling Gleam,Psychic,Energy Ball,Timid,0,0,0,252,0,252
Mr. Mime,Jaboca Berry,Payback,Wide Guard,Confide,Fake Out,Brave,0,252,0,0,252,0
Mr. Mime,Light Clay,Light Screen,Psychic,Reflect,Dazzling Gleam,Bold,252,0,252,0,0,0
Mr. Mime,Babiri Berry,Shadow Ball,Signal Beam,Dazzling Gleam,Psychic,Modest,0,0,0,252,0,252
Jynx,Enigma Berry,Draining Kiss,Mean Look,Lovely Kiss,Attract,Calm,252,0,252,0,0,0
Jynx,Destiny Knot,Ice Punch,Fake Out,Heart Stamp,Taunt,Adamant,0,252,0,0,0,252
Jynx,Expert Belt,Icy Wind,Blizzard,Psychic,Focus Blast,Modest,0,0,0,252,0,252
Jynx,Wide Lens,Lovely Kiss,Blizzard,Psychic,Fake Out,Timid,0,0,0,252,0,252
Pinsir,Persim Berry,Bug Bite,Brick Break,Thrash,Swords Dance,Naughty,0,252,0,0,0,252
Pinsir,Insect Plate,Feint,X-Scissor,Stone Edge,Bug Bite,Lonely,0,252,0,0,0,252
Pinsir,Lax Incense,X-Scissor,Superpower,Stone Edge,Giga Impact,Adamant,0,252,252,0,0,0
Pinsir,Choice Scarf,X-Scissor,Earthquake,Close Combat,Guillotine,Jolly,0,252,0,0,0,252
Tauros,Liechi Berry,Earthquake,Rock Slide,Endure,Substitute,Naughty,0,252,0,0,0,252
Tauros,Expert Belt,Zen Headbutt,Wild Charge,Swagger,Giga Impact,Jolly,0,252,0,0,0,252
Tauros,Life Orb,Double-Edge,Earthquake,Payback,Giga Impact,Jolly,0,252,0,0,0,252
Tauros,Sitrus Berry,Toxic,Protect,Double Team,Earthquake,Careful,252,0,0,0,252,0
Gyarados,Muscle Band,Ice Fang,Aqua Tail,Thunder Wave,Dragon Dance,Lonely,170,170,0,0,0,170
Gyarados,Chesto Berry,Waterfall,Rest,Bulldoze,Giga Impact,Naughty,0,252,0,0,0,252
Gyarados,Wacan Berry,Dragon Dance,Waterfall,Stone Edge,Earthquake,Jolly,0,252,0,0,0,252
Gyarados,Chesto Berry,Dragon Dance,Aqua Tail,Earthquake,Rest,Careful,252,0,0,0,252,0
Lapras,Damp Rock,Rain Dance,Thunder,Ice Shard,Confuse Ray,Quiet,0,0,252,252,0,0
Lapras,Mystic Water,Surf,Ice Beam,Rest,Sleep Talk,Modest,0,0,170,170,170,0
Lapras,Bright Powder,Surf,Ice Beam,Thunderbolt,Psychic,Modest,252,0,0,252,0,0
Lapras,Chesto Berry,Perish Song,Rest,Body Slam,Block,Impish,0,0,252,0,252,0
Vaporeon,Quick Claw,Wish,Surf,Helping Hand,Shadow Ball,Quiet,0,0,252,252,0,0
Vaporeon,Leftovers,Ice Beam,Hydro Pump,Acid Armor,Aqua Ring,Modest,0,0,252,252,0,0
Vaporeon,Leftovers,Muddy Water,Blizzard,Aqua Ring,Yawn,Modest,252,0,0,252,0,0
Vaporeon,Expert Belt,Surf,Ice Beam,Shadow Ball,Signal Beam,Modest,252,0,0,252,0,0
Jolteon,Magnet,Quick Attack,Thunderbolt,Thunder Wave,Swagger,Hasty,0,0,0,252,0,252
Jolteon,Damp Rock,Thunder,Protect,Charm,Rain Dance,Timid,0,0,0,252,0,252
Jolteon,King's Rock,Thunder,Shadow Ball,Rain Dance,Yawn,Timid,0,0,0,252,0,252
Jolteon,Razor Fang,Thunderbolt,Hyper Beam,Fake Tears,Signal Beam,Timid,0,0,0,252,0,252
Flareon,Focus Sash,Dig,Flail,Work Up,Fire Blast,Naughty,0,252,0,252,0,0
Flareon,Charcoal,Will-O-Wisp,Charm,Flame Charge,Protect,Impish,252,0,252,0,0,0
Flareon,White Herb,Superpower,Return,Will-O-Wisp,Overheat,Brave,252,252,0,0,0,0
Flareon,White Herb,Bite,Superpower,Giga Impact,Fire Fang,Adamant,0,252,0,0,252,0
Aerodactyl,Choice Scarf,Rock Slide,Curse,Curse,Curse,Jolly,0,252,0,0,0,252
Aerodactyl,Passho Berry,Crunch,Rock Slide,Roost,Sky Drop,Naive,0,252,0,0,0,252
Aerodactyl,Expert Belt,Iron Head,Earthquake,Rock Slide,Thunder Fang,Jolly,0,252,0,0,0,252
Aerodactyl,Choice Band,Stone Edge,Aerial Ace,Earthquake,Crunch,Jolly,0,252,0,0,0,252
Snorlax,Sitrus Berry,Return,Wild Charge,Counter,Recycle,Adamant,0,252,252,0,0,0
Snorlax,Sitrus Berry,Return,Protect,Crunch,Belly Drum,Brave,0,252,252,0,0,0
Snorlax,Life Orb,Double-Edge,Earthquake,Crunch,Protect,Adamant,0,252,252,0,0,0
Snorlax,Assault Vest,Body Slam,Power-Up Punch,Earthquake,Crunch,Careful,252,0,0,0,252,0
Articuno,Icy Rock,Hail,Blizzard,Fly,Roost,Modest,252,0,0,252,0,0
Articuno,Lum Berry,Sheer Cold,Mind Reader,Ice Shard,Ice Beam,Bold,252,0,0,0,252,0
Articuno,Charti Berry,Frost Breath,Reflect,Steel Wing,U-turn,Jolly,0,252,0,0,0,252
Articuno,Leftovers,Tailwind,Blizzard,Sky Drop,Protect,Modest,0,0,0,252,0,252
Zapdos,Magnet,Thunderbolt,Signal Beam,Air Cutter,Ancient Power,Timid,0,0,0,252,0,252
Zapdos,Bright Powder,Charge Beam,Heat Wave,Double Team,Roost,Bold,252,0,0,0,252,0
Zapdos,Petaya Berry,Thunder,Light Screen,Rain Dance,Drill Peck,Naive,0,0,0,252,0,252
Zapdos,Lum Berry,Thunderbolt,Volt Switch,Heat Wave,Detect,Timid,0,0,0,252,0,252
Moltres,White Herb,Overheat,Air Slash,Tailwind,Will-O-Wisp,Modest,0,0,0,252,0,252
Moltres,Power Herb,Flame Charge,Sky Attack,Aerial Ace,Fire Blast,Naughty,0,252,0,0,0,252
Moltres,Heat Rock,Sunny Day,Solar Beam,Flamethrower,Air Slash,Timid,0,0,0,252,0,252
Moltres,Charcoal,Heat Wave,Incinerate,Air Slash,Protect,Timid,0,0,0,252,0,252
Dragonite,Custap Berry,Toxic,Thunder Wave,Roost,Rock Slide,Impish,170,0,170,0,170,0
Dragonite,Salac Berry,Dragon Pulse,Ice Beam,Thunderbolt,Safeguard,Mild,0,0,0,252,0,252
Dragonite,Choice Band,Outrage,Earthquake,Giga Impact,Superpower,Adamant,0,252,0,0,252,0
Dragonite,Snowball,Dragon Rush,Iron Tail,Extreme Speed,Fire Punch,Adamant,0,252,0,0,0,252
Meganium,Sitrus Berry,Light Screen,Aromatherapy,Swagger,Solar Beam,Gentle,252,0,0,0,252,0
Meganium,Chesto Berry,Double Team,Petal Blizzard,Substitute,Rest,Bold,252,0,252,0,0,0
Meganium,Light Clay,Seed Bomb,Earthquake,Reflect,Light Screen,Adamant,252,252,0,0,0,0
Meganium,Leftovers,Leech Seed,Ingrain,Toxic,Protect,Bold,0,0,252,0,252,0
Typhlosion,Passho Berry,Flame Burst,Flamethrower,Solar Beam,Sunny Day,Rash,0,0,0,252,0,252
Typhlosion,Wide Lens,Inferno,Focus Blast,Extrasensory,Will-O-Wisp,Naive,0,0,0,252,0,252
Typhlosion,Choice Scarf,Eruption,Focus Blast,Heat Wave,Extrasensory,Modest,0,0,0,252,0,252
Typhlosion,Power Herb,Extrasensory,Lava Plume,Bulldoze,Solar Beam,Modest,0,0,0,252,0,252
Feraligatr,Lax Incense,Screech,Aqua Jet,Earthquake,Block,Careful,252,0,0,0,252,0
Feraligatr,Liechi Berry,Superpower,Aqua Tail,Ice Fang,Dragon Dance,Adamant,170,170,0,0,0,170
Feraligatr,Lum Berry,Aqua Jet,Waterfall,Earthquake,Ice Punch,Adamant,252,252,0,0,0,0
Feraligatr,Liechi Berry,Dragon Dance,Waterfall,Crunch,Substitute,Adamant,0,252,0,0,0,252
Crobat,Charti Berry,Cross Poison,X-Scissor,Hypnosis,U-turn,Jolly,0,252,0,0,0,252
Crobat,Sharp Beak,Air Slash,Shadow Ball,Confuse Ray,Nasty Plot,Timid,0,0,0,252,0,252
Crobat,Razor Claw,Cross Poison,Brave Bird,Zen Headbutt,X-Scissor,Jolly,0,252,0,0,0,252
Crobat,Wide Lens,Hypnosis,Aerial Ace,Cross Poison,Taunt,Jolly,0,252,0,0,0,252
Lanturn,Salac Berry,Thunder Wave,Volt Switch,Waterfall,Agility,Naughty,0,252,0,0,0,252
Lanturn,Sitrus Berry,Thunder Wave,Charge Beam,Stockpile,Swallow,Calm,0,0,252,252,0,0
Lanturn,Petaya Berry,Surf,Discharge,Thunder Wave,Ice Beam,Modest,0,0,170,170,170,0
Lanturn,Chesto Berry,Stockpile,Rest,Charge Beam,Ice Beam,Bold,0,0,252,0,252,0
Ampharos,Shuca Berry,Power Gem,Thunder Wave,Discharge,Charge Beam,Mild,170,0,0,170,170,0
Ampharos,Lum Berry,Brick Break,Thunder Punch,Screech,Odor Sleuth,Brave,170,170,170,0,0,0
Ampharos,Chesto Berry,Thunder Wave,Charge Beam,Hyper Beam,Rest,Modest,252,0,0,252,0,0
Ampharos,Zoom Lens,Thunder,Focus Blast,Signal Beam,Power Gem,Quiet,252,0,0,252,0,0
Politoed,Cell Battery,Waterfall,Encore,Swagger,Bounce,Modest,0,0,0,252,0,252
Politoed,Damp Rock,Rain Dance,Round,Body Slam,Hydro Pump,Quiet,0,0,0,252,252,0
Politoed,Chesto Berry,Waterfall,Earthquake,Belly Drum,Rest,Careful,0,252,0,0,252,0
Politoed,Wide Lens,Hydro Pump,Blizzard,Focus Blast,Hypnosis,Modest,0,0,0,252,252,0
Quagsire,Rindo Berry,Rest,Sleep Talk,Toxic,Bulldoze,Impish,252,0,252,0,0,0
Quagsire,Iron Ball,Earthquake,Stockpile,Fling,Swallow,Impish,170,0,170,0,170,0
Quagsire,Rindo Berry,Earthquake,Aqua Tail,Ice Punch,Stone Edge,Adamant,0,252,0,0,252,0
Quagsire,Leftovers,Curse,Amnesia,Earthquake,Waterfall,Careful,252,0,0,0,252,0
Espeon,Focus Sash,Yawn,Dream Eater,Calm Mind,Protect,Naive,0,0,0,252,0,252
Espeon,Kasib Berry,Psyshock,Grass Knot,Telekinesis,Charm,Timid,252,0,0,0,0,252
Espeon,Lum Berry,Psychic,Shadow Ball,Hyper Beam,Grass Knot,Modest,0,0,0,252,0,252
Espeon,Expert Belt,Psychic,Shadow Ball,Signal Beam,Dazzling Gleam,Timid,0,0,0,252,0,252
Umbreon,Leftovers,Confuse Ray,Payback,Curse,Moonlight,Impish,252,0,252,0,0,0
Umbreon,Chople Berry,Payback,Moonlight,Stored Power,Work Up,Careful,252,252,0,0,0,0
Umbreon,Sitrus Berry,Feint Attack,Swagger,Psych Up,Screech,Impish,252,0,252,0,0,0
Umbreon,Chesto Berry,Curse,Trump Card,Payback,Rest,Careful,252,0,252,0,0,0
Slowking,Sitrus Berry,Psyshock,Water Pulse,Trick Room,Heal Pulse,Calm,0,0,0,252,252,0
Slowking,King's Rock,Zen Headbutt,Earthquake,Swagger,Psych Up,Gentle,0,252,0,0,252,0
Slowking,Choice Specs,Psychic,Shadow Ball,Signal Beam,Focus Blast,Modest,0,0,0,252,252,0
Slowking,Lum Berry,Psychic,Surf,Ice Beam,Trick Room,Quiet,252,0,0,0,252,0
Forretress,Occa Berry,Spikes,Struggle Bug,Stealth Rock,Iron Defense,Impish,252,0,252,0,0,0
Forretress,Sitrus Berry,Spikes,Earthquake,Magnet Rise,Gyro Ball,Naughty,252,252,0,0,0,0
Forretress,Iron Ball,Gyro Ball,Earthquake,Bug Bite,Explosion,Brave,252,252,0,0,0,0
Forretress,Custap Berry,Toxic Spikes,Stealth Rock,Spikes,Explosion,Careful,252,0,0,0,252,0
Steelix,Chesto Berry,Earthquake,Rest,Curse,Stealth Rock,Impish,252,0,0,0,252,0
Steelix,Enigma Berry,Crunch,Curse,Gyro Ball,Screech,Impish,252,252,0,0,0,0
Steelix,Quick Claw,Gyro Ball,Earthquake,Stone Edge,Explosion,Brave,0,252,0,0,252,0
Steelix,Iron Ball,Gyro Ball,Payback,Swagger,Curse,Relaxed,0,252,252,0,0,0
Granbull,Leftovers,Charm,Protect,Retaliate,Payback,Sassy,170,0,170,0,170,0
Granbull,Wise Glasses,Snarl,Thunderbolt,Dazzling Gleam,Sludge Bomb,Modest,0,0,252,252,0,0
Granbull,Sitrus Berry,Double-Edge,Earthquake,Wild Charge,Outrage,Adamant,0,252,0,0,0,252
Granbull,Life Orb,Fire Fang,Ice Fang,Play Rough,Crunch,Adamant,0,252,0,0,0,252
Scizor,Occa Berry,Metal Claw,Night Slash,Aerial Ace,Swords Dance,Brave,252,0,252,0,0,0
Scizor,Insect Plate,Bullet Punch,X-Scissor,Feint,Agility,Naughty,252,252,0,0,0,0
Scizor,Life Orb,Swords Dance,Bullet Punch,Reversal,U-turn,Brave,252,252,0,0,0,0
Scizor,Occa Berry,Bug Bite,Aerial Ace,Roost,Bullet Punch,Adamant,252,252,0,0,0,0
Shuckle,Binding Band,Power Split,Encore,Gastro Acid,Sand Tomb,Careful,252,0,0,0,252,0
Shuckle,Quick Claw,Power Trick,Encore,Rock Slide,Bug Bite,Bold,252,0,252,0,0,0
Shuckle,Lax Incense,Gyro Ball,Double Team,Substitute,Power Trick,Relaxed,252,0,252,0,0,0
Shuckle,Leftovers,Toxic,Protect,Sandstorm,Wrap,Relaxed,252,0,252,0,0,0
Heracross,Black Belt,Aerial Ace,Pursuit,Swords Dance,Brick Break,Brave,170,170,170,0,0,0
Heracross,Salac Berry,Megahorn,Dig,Endure,Reversal,Naughty,252,0,0,0,0,252
Heracross,Coba Berry,Megahorn,Stone Edge,Facade,Shadow Claw,Jolly,0,252,0,0,0,252
Heracross,Salac Berry,Megahorn,Earthquake,Reversal,Endure,Jolly,0,252,0,0,0,252
Ursaring,Chesto Berry,Thrash,Crunch,Rest,Counter,Adamant,0,170,170,0,170,0
Ursaring,Toxic Orb,Facade,Hammer Arm,Scary Face,Yawn,Jolly,0,252,0,0,0,252
Ursaring,Toxic Orb,Facade,Superpower,Crunch,Protect,Adamant,252,252,0,0,0,0
Ursaring,Quick Claw,Return,Cross Chop,Earthquake,Aerial Ace,Adamant,252,252,0,0,0,0
Skarmory,Lax Incense,Spikes,Stealth Rock,Sky Drop,Whirlwind,Naive,252,0,0,0,0,252
Skarmory,Cell Battery,Brave Bird,Steel Wing,Swords Dance,Roar,Naughty,252,0,0,0,0,252
Skarmory,Choice Scarf,Brave Bird,Steel Wing,Night Slash,Rock Slide,Jolly,0,252,0,0,0,252
Skarmory,Lum Berry,Spikes,Stealth Rock,Whirlwind,Toxic,Careful,252,0,0,0,252,0
Houndoom,Charcoal,Incinerate,Flame Charge,Will-O-Wisp,Sucker Punch,Adamant,0,252,0,0,0,252
Houndoom,Focus Sash,Counter,Flame Charge,Roar,Protect,Hasty,0,252,0,0,0,252
Houndoom,Air Balloon,Flamethrower,Shadow Ball,Sludge Bomb,Will-O-Wisp,Timid,0,0,0,252,0,252
Houndoom,White Herb,Overheat,Dark Pulse,Solar Beam,Sunny Day,Timid,0,0,0,252,0,252
Kingdra,Persim Berry,Waterfall,Quash,Protect,Outrage,Adamant,170,170,0,0,0,170
Kingdra,Haban Berry,Dragon Pulse,Waterfall,Ice Beam,Dragon Dance,Mild,170,170,0,170,0,0
Kingdra,Maranga Berry,Rain Dance,Hydro Pump,Dragon Pulse,Ice Beam,Modest,170,0,0,170,0,170
Kingdra,White Herb,Draco Meteor,Surf,Blizzard,Protect,Modest,170,0,0,170,0,170
Donphan,Metronome,Earthquake,Scary Face,Rollout,Defense Curl,Brave,0,252,252,0,0,0
Donphan,Focus Sash,Endeavor,Flail,Roar,Giga Impact,Adamant,0,252,0,0,252,0
